longitude,latitude,year,lithology,GWL,rainfall_mm,soil_thickness,normalized_urban_load_proxy,subsidence,subsidence_cum,city,lithology_class,GWL_depth_bgs,GWL_depth_bgs_z,soil_thickness_censored,soil_thickness_imputed,soil_thickness_eff,urban_load_global,z_surf,head_m,GWL_depth_bgs_raw,z_surf_raw,GWL_depth_bgs_m,z_surf_corr,z_surf_flag_outlier,z_surf_m
113.416824,22.823584,2015,Shale–Limestone,75.37986042,955.7236769907844,3.31,0.4545454545445368,5.634371,5.634371,Nansha,Mixed Clastics,75.37986042,0.8010837005038475,False,3.31,3.31,0.4545454545453786,-4.0,-4.7537986042,75.37986042,-4.0,0.7537986042,-4.0,False,-4.0
113.429787,22.822548,2015,Siltstone–Sandstone,83.79230979,955.7236769907844,3.62,0.6363636363623517,5.503546,5.503546,Nansha,Mixed Clastics,83.79230979,1.0412444040410265,False,3.62,3.62,0.6363636363635302,-1.0,-1.8379230979,83.79230979,-1.0,0.8379230979000001,-1.0,False,-1.0
113.411636,22.828251,2015,Siltstone–Shale,10.59595446,955.7236769907844,3.35,0.9090909090890724,5.428567,5.428567,Nansha,Fine-Grained Soil,10.59595446,-1.0483834105523016,False,3.35,3.35,0.909090909090756,1.0,0.8940404554,10.59595446,1.0,0.1059595446,1.0,False,1.0
113.433418,22.818916,2015,Mudstone–Siltstone,57.18563663,955.7236769907844,0.61,0.9999999999979798,5.216597,5.216597,Nansha,Fine-Grained Soil,57.18563663,0.2816704602528367,False,0.61,0.61,0.9999999999998318,-4.0,-4.5718563663000005,57.18563663,-4.0,0.5718563663,-4.0,False,-4.0
113.425117,22.848993,2015,Limestone–Sandstone,73.763013,955.7236769907844,1.42,0.181818181817815,6.411003,6.411003,Nansha,Mixed Clastics,73.763013,0.7549255369511232,False,1.42,1.42,0.1818181818181517,-1.0,-1.73763013,73.763013,-1.0,0.73763013,-1.0,False,-1.0
113.413712,22.853142,2015,Tuff–Sandstone,48.93294172,955.7236769907844,2.65,0.2727272727267221,6.945407,6.945407,Nansha,Mixed Clastics,48.93294172,0.0460704668987855,False,2.65,2.65,0.2727272727272272,-3.0,-3.4893294172,48.93294172,-3.0,0.4893294172,-3.0,False,-3.0
113.428749,22.838104,2015,Siltstone–Shale,7.656415423,955.7236769907844,4.4,0.9090909090890716,4.556079,4.556079,Nansha,Fine-Grained Soil,7.656415423,-1.132302104401263,False,4.4,4.4,0.9090909090907552,-4.0,-4.07656415423,7.656415423,-4.0,0.07656415423,-4.0,False,-4.0
113.442749,22.863514,2015,Limestone–Sandstone,38.6363091,2032.170344759352,4.32,0.1818181818178142,4.504357,4.504357,Nansha,Mixed Clastics,38.6363091,-0.247880370166765,False,4.32,4.32,0.1818181818181509,3.0,2.613636909,38.6363091,3.0,0.386363091,3.0,False,3.0
113.417343,22.870773,2015,Limestone–Sandstone,35.57096487,955.7236769907844,4.75,0.1818181818178148,6.414228,6.414228,Nansha,Mixed Clastics,35.57096487,-0.3353905820541302,False,4.75,4.75,0.1818181818181515,-5.0,-5.3557096487,35.57096487,-5.0,0.3557096487,-5.0,False,-5.0
113.415268,22.864033,2015,Tuff–Sandstone,65.18950566,955.7236769907844,2.62,0.2727272727267217,5.603188,5.603188,Nansha,Mixed Clastics,65.18950566,0.5101669103021088,False,2.62,2.62,0.2727272727272268,1.0,0.3481049434000001,65.18950566,1.0,0.6518950565999999,1.0,False,1.0
