longitude,latitude,year,GWL,seismic_risk_score,rainfall_mm,subsidence,geology,normalized_density,density_tier,subsidence_intensity,density_concentration,normalized_seismic_risk_score,rainfall_category
113.237022,22.720217,2019,1.087580209,-19.83795994,2058.541038,7.09,Residual Soil,0.295440015,Low,Minimal,Sparse,0.012911799,Medium
113.233612,22.709225,2018,0.551166842,-19.71358459,2336.413957,9.53,Gravelly Soil,0.503609152,Medium,Minimal,Moderate,0.044769747,High
113.228447,22.714087,2015,2.076555475,-19.87087507,1694.446181,23.25,Residual Soil,0.320797909,Low,Minimal,Sparse,0.047168361,Medium
113.225861,22.720577,2017,1.261728655,-20.01450261,1779.430229,3.87,Rock,0.089905339,Low,Minimal,Sparse,0,Medium
113.232559,22.716852,2018,2.15770422,-19.85195075,2591.902601,58.1,Residual Soil,0.377274693,Low,Moderate,Moderate,0.180499651,High
113.231331,22.71026,2021,0.989804493,-19.76528474,1838.605161,3.14,Gravelly Soil,0.495960382,Medium,Minimal,Moderate,0.005234172,Medium
113.234383,22.722822,2016,0.568678907,-19.9202278,2571.462451,12.79,Rock,0.098691887,Low,Minimal,Sparse,0.043386966,High
113.227707,22.719862,2016,0.510081063,-19.97468606,2588.49752,14.74,Rock,0.099923239,Low,Minimal,Sparse,0.048605347,High
113.236855,22.731457,2016,0.627198631,-20.02277744,2550.326966,10.5,Residual Soil,0.301165487,Low,Minimal,Sparse,0.025312685,High
113.226517,22.71055,2016,0.681043234,-19.8443086,2593.027295,16.92,Gravelly Soil,0.531792418,Medium,Minimal,Moderate,0.060871328,High
113.227264,22.706947,2022,0.962576917,-19.77547298,2058.386719,5.87,Rock,0.095279451,Low,Minimal,Sparse,0.016940725,Medium
113.23951,22.729462,2018,0.640834934,-19.95023192,2270.027905,0.92,Residual Soil,0.288574947,Low,Minimal,Sparse,0,Medium
113.234245,22.710514,2022,0.927489616,-19.72445207,2084.204688,9.23,Rock,0.111952807,Low,Minimal,Sparse,0.034242444,Medium
113.234367,22.709978,2016,0.42143779,-19.71399789,2597.394455,15.48,Residual Soil,0.295964717,Low,Minimal,Sparse,0.071012771,High
113.22049,22.706528,2016,0.5424892,-19.87427936,2528.243075,6.73,Gravelly Soil,0.487188074,Medium,Minimal,Moderate,0.023191282,High
113.225014,22.711197,2016,0.389884726,-19.87787917,2522.855304,4.62,Rock,0.076390463,Low,Minimal,Sparse,0.019268414,High
113.235031,22.710217,2023,1.477210889,-19.70760756,1901.880721,18.42,Residual Soil,0.371249651,Medium,Minimal,Moderate,0.055346651,Medium
113.231247,22.729462,2020,2.320759863,-20.07529938,1660.127021,23.38,Residual Soil,0.359161174,Medium,Minimal,Moderate,0.02729916,Medium
113.214592,22.707596,2018,0.738822802,-19.98335421,2286.079655,3.67,Rock,0.078462976,Low,Minimal,Sparse,0,Medium
113.23243,22.711088,2022,0.748605375,-19.76157324,2053.268986,3.54,Rock,0.096348643,Low,Minimal,Sparse,0.01421884,Medium
113.240303,22.729513,2020,1.695809913,-19.93910805,1535.541419,0.31,Rock,0.091615072,Low,Minimal,Sparse,0,Medium
113.2258,22.720037,2023,1.422659737,-20.00679151,1864.705395,12.77,Residual Soil,0.326351778,Medium,Minimal,Sparse,0.014487017,Medium
